City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,tucuma,-0.1833,-50.05,24.46,90,16,1.14,BR,1719631172
282,kingston,17.997,-76.7936,28.53,79,100,2.06,JM,1719630917
283,grand-bassam,5.2118,-3.7388,25.98,91,72,3.49,CI,1719631174
284,fort st. john,56.2499,-120.8529,20.94,40,40,3.6,CA,1719631176
285,ozu,33.5,132.55,28.43,92,100,2.37,JP,1719631177
286,tsiombe,-25.3,45.4833,15.17,79,0,2.65,MG,1719631178
287,port moresby,-9.4431,147.1797,28.03,71,100,3.01,PG,1719631180
288,mirny,62.5353,113.9611,24.14,56,55,3.39,RU,1719631181
289,sitka,57.0531,-135.33,13.94,77,100,0.0,US,1719631183
290,vorkuta,67.5,64.0,5.03,80,100,4.39,RU,1719631052
291,antsiranana,-12.2787,49.2917,21.42,64,20,6.17,MG,1719631186
292,tipasa,36.5897,2.4475,22.6,68,1,1.86,DZ,1719631187
293,punta del este,-34.9667,-54.95,8.31,61,75,14.75,UY,1719631189
294,queenstown,-31.8976,26.8753,8.88,56,77,2.62,ZA,1719630911
295,mil'kovo,55.6078,37.7956,20.8,73,52,1.93,RU,1719631192
296,coahuayana de hidalgo,18.7,-103.6583,24.26,83,69,0.7,MX,1719631193
297,soufriere,13.8562,-61.0566,27.78,89,75,6.69,LC,1719631194
298,sinan,34.8262,126.1086,24.06,97,100,11.0,KR,1719631195
299,val-d'or,48.1002,-77.7828,17.05,59,100,1.54,CA,1719631197
300,nehe,48.4833,124.8333,19.41,94,100,3.39,CN,1719631198
301,udachny,66.4167,112.4,27.92,40,89,6.1,RU,1719631200
302,urumqi,43.801,87.6005,33.53,18,0,2.0,CN,1719631201
303,callao,-12.0667,-77.15,17.07,88,100,3.09,PE,1719630988
304,zinjibar,13.1287,45.3807,30.84,66,100,1.85,YE,1719631204
305,kudahuvadhoo,2.6708,72.8944,27.84,73,94,1.27,MV,1719631205
306,phang nga,8.4509,98.5298,32.02,64,89,1.54,TH,1719631206
307,gobabis,-22.45,18.9667,10.89,54,2,5.32,NA,1719631207
308,happy valley-goose bay,53.3168,-60.3315,8.17,76,20,4.12,CA,1719631209
309,changji,44.0167,87.3167,35.44,18,0,2.0,CN,1719631210
310,flying fish cove,-10.4217,105.6791,26.82,78,100,5.66,CX,1719631211
311,tindouf,27.6711,-8.1474,21.72,37,0,6.11,DZ,1719631213
312,san patricio,28.017,-97.5169,30.47,80,1,7.2,US,1719631214
313,kunshan,31.3776,120.9543,29.94,86,100,3.9,CN,1719631215
314,fort mcmurray,56.7268,-111.381,18.77,36,0,2.57,CA,1719631217
315,constantia,44.1833,28.65,20.39,61,0,5.04,RO,1719631218
316,am timan,11.0297,20.2827,23.72,78,100,0.59,TD,1719631220
317,ostersund,63.1792,14.6357,13.25,76,60,4.12,SE,1719631221
318,kerikeri,-35.2268,173.9474,14.6,71,88,1.6,NZ,1719631222
319,tadine,-21.55,167.8833,22.88,65,39,7.06,NC,1719631223
320,marquette,46.5333,-87.6335,17.1,98,100,2.24,US,1719631225
321,andergrove,-21.0833,149.1833,26.38,76,27,3.54,AU,1719631226
322,brisas de zicatela,15.8369,-97.0419,27.34,83,100,2.71,MX,1719631227
323,prainha,-1.8,-53.48,25.85,73,92,1.08,BR,1719631229
324,zhanga buqtyrma,49.6295,83.5248,25.01,73,0,0.74,KZ,1719631230
325,loch garman,52.3342,-6.4575,13.45,100,100,1.79,IE,1719631190
326,usogorsk,63.4106,48.6872,15.02,54,25,0.89,RU,1719631232
327,vorgashor,67.5833,63.95,4.73,80,100,4.61,RU,1719631234
328,san andres,12.5847,-81.7006,28.01,89,20,2.06,CO,1719631235
329,urazovo,50.0836,38.0395,16.58,86,73,1.55,RU,1719631237
330,greater sudbury,46.49,-80.99,15.59,82,100,3.67,CA,1719631210
